ticker,event,sector,action,direction,alpha,beta_mkt,beta_smb,beta_hml,r_squared,n_obs
WELL,2022-09-22,REITs,+75 bp,hike,-6.982500488418732e-05,0.6320923455064666,0.2904284973039464,0.4300922735875304,0.2637026425003163,220
WELL,2023-03-23,REITs,+25 bp,hike,-0.000652720383232216,0.6913333044511374,-0.009314804341677974,0.16859059521619765,0.30124024270287586,220
WELL,2024-09-19,REITs,-50 bp,cut,0.0008034153291265373,0.7348148560577521,0.021915546701015403,0.3283226422841905,0.2561669271343445,220
WELL,2024-12-19,REITs,-25 bp,cut,0.0016180061703095837,0.4011101161249267,0.08039687396550294,0.16771648457401359,0.08920701334245718,220
WELL,2025-09-18,REITs,-25 bp,cut,0.0008895072216699199,0.4667605628266547,-0.47139994814907105,0.17665229141990946,0.14023555933052456,220
WELL,2025-10-30,REITs,-25 bp,cut,0.0004427162571639134,0.45649014273932964,-0.5223402406064963,0.1463151090772995,0.15720155742586495,220
WELL,2025-12-11,REITs,-25 bp,cut,0.0009661824785227621,0.5017329237655608,-0.45965409726789763,0.3748930641787973,0.17355259053810157,220
NEE,2022-03-17,Utilities,+25 bp,hike,0.00016042325134335184,0.6264960405555668,-0.40136465604389815,-0.3773442733496166,0.25138082499399383,220
NEE,2022-06-16,Utilities,+75 bp,hike,0.00019954446917888038,0.4551599817834837,-0.3514145280976943,-0.29486473093769183,0.1851284756161894,220
NEE,2022-09-22,Utilities,+75 bp,hike,0.0009906711444683295,0.5697183472180471,-0.3577169182249728,-0.21865476303023115,0.2548856192216489,220
NEE,2023-03-23,Utilities,+25 bp,hike,9.285856439178518e-05,0.7623254921108257,-0.41948644610810887,-0.1168872540714786,0.3976635962253111,220
NEE,2024-09-19,Utilities,-50 bp,cut,0.0003369122616046391,0.528398650059049,0.24658486670105328,0.6564644368167252,0.12149304957265727,220
NEE,2024-12-19,Utilities,-25 bp,cut,0.0011807778817356607,0.3341056917279458,0.2092577800371177,0.427023225741031,0.074335548353613,220
NEE,2025-09-18,Utilities,-25 bp,cut,-0.0011187753755265842,0.5040858843263563,-0.5731278445168708,0.4844658431604193,0.11078256281986587,220
NEE,2025-10-30,Utilities,-25 bp,cut,-0.0008795026063649742,0.4697528358285101,-0.5228786352694047,0.4086471050057977,0.09881158945008794,220
NEE,2025-12-11,Utilities,-25 bp,cut,0.00011358846920454129,0.5866145165570957,-0.3668316431599289,0.7309305874724524,0.1512305128592929,220
DUK,2022-03-17,Utilities,+25 bp,hike,3.566181557844257e-05,0.3262527669934609,-0.41385105217691903,0.1379088210192074,0.13973475286175419,220
DUK,2022-06-16,Utilities,+75 bp,hike,0.00010351448898028495,0.28704362016160945,-0.3867993944808034,0.19778885409474728,0.1448380682385405,220
DUK,2022-09-22,Utilities,+75 bp,hike,0.0005171790741667691,0.33528488662328854,-0.444427086637919,0.203239886902243,0.20158761552283033,220
DUK,2023-03-23,Utilities,+25 bp,hike,6.536901605735425e-05,0.5610087580213563,-0.43469724240974406,0.17626171297620036,0.3209092986891019,220
DUK,2024-09-19,Utilities,-50 bp,cut,0.0005011531133790415,0.32550941308242315,-0.07778093646963317,0.60240455681954,0.16495367567415054,220
DUK,2024-12-19,Utilities,-25 bp,cut,0.0008087281424876359,0.13721225542812499,-0.04945682788820648,0.5303748979035691,0.10924061790102602,220
DUK,2025-09-18,Utilities,-25 bp,cut,7.163210730945865e-05,0.17779105365447823,-0.4908516980869291,0.5194099829510549,0.16367118700549055,220
DUK,2025-10-30,Utilities,-25 bp,cut,4.519156159323045e-05,0.16237097930868755,-0.44204849363945287,0.4874043950527518,0.1620417939498331,220
DUK,2025-12-11,Utilities,-25 bp,cut,0.0002505313892721821,0.15950435495411588,-0.4192776224494017,0.5227605019902316,0.15727341894206526,220
SO,2022-03-17,Utilities,+25 bp,hike,0.0001984751558283113,0.36347229679774395,-0.3665989419969932,0.08250307107708568,0.1334119402269357,220
SO,2022-06-16,Utilities,+75 bp,hike,0.0005626836579712631,0.3138535603409419,-0.33492125038732445,0.19711477791524246,0.124503772918093,220
SO,2022-09-22,Utilities,+75 bp,hike,0.001000988602813273,0.38481260124360783,-0.38962782800161794,0.2238738655036862,0.1933967560844212,220
SO,2023-03-23,Utilities,+25 bp,hike,0.00030701379431276776,0.6431779989228548,-0.5087488974342453,0.18536426051095328,0.3654968080807124,220
SO,2024-09-19,Utilities,-50 bp,cut,0.0005694545533321138,0.32482609788755146,-0.0721567157648762,0.5814200147782304,0.13157228361668982,220
SO,2024-12-19,Utilities,-25 bp,cut,0.0011238326274337466,0.10430974357867935,-0.04778765147537875,0.5276954590469494,0.10223806549194947,220
SO,2025-09-18,Utilities,-25 bp,cut,-3.4475784111895596e-06,0.22309813695719471,-0.48261530162806743,0.48988610817618494,0.14955860667042709,220
SO,2025-10-30,Utilities,-25 bp,cut,-0.00015484714412402354,0.20400422714131347,-0.4444639778803472,0.4477768913834747,0.13987467847125568,220
SO,2025-12-11,Utilities,-25 bp,cut,0.0001557475571744216,0.21689018311767067,-0.38168611273392206,0.5727465892781348,0.15584799971888164,220
AEP,2022-03-17,Utilities,+25 bp,hike,-0.0003540349329973577,0.4043806268595416,-0.513108037700662,0.137081323909313,0.20814479620920256,220
AEP,2022-06-16,Utilities,+75 bp,hike,0.0005605005940459886,0.37279897171659665,-0.41289317928694347,0.16664931511544379,0.16134608801430228,220
AEP,2022-09-22,Utilities,+75 bp,hike,0.0010013068233610577,0.42026185619023554,-0.3946367205142711,0.20367355378432797,0.22158187491677672,220
AEP,2023-03-23,Utilities,+25 bp,hike,0.0001987527487213139,0.6922293267828338,-0.4974078617845338,0.18022600017657361,0.3984775206217328,220
AEP,2024-09-19,Utilities,-50 bp,cut,0.0005434659683907328,0.45149373330540876,0.024335487297826565,0.7525888790488852,0.21111813477126573,220
AEP,2024-12-19,Utilities,-25 bp,cut,0.0010762521944643086,0.17180795813677407,0.11671557473762478,0.5961448044680434,0.1414929205725599,220
AEP,2025-09-18,Utilities,-25 bp,cut,0.00011912067073906211,0.1850563338431445,-0.6135551948801954,0.395497190749217,0.134566662103493,220
AEP,2025-10-30,Utilities,-25 bp,cut,0.0002125394347017868,0.18178050434704443,-0.599001558130293,0.36328454481859446,0.1363625638844067,220
AEP,2025-12-11,Utilities,-25 bp,cut,0.00046559959139500255,0.2551274262375083,-0.5309621826483409,0.5683543642514319,0.1778059008277021,220
EXC,2022-03-17,Utilities,+25 bp,hike,0.0009372390316080487,0.5764034910074416,-0.21447189182943777,0.10955981062705239,0.19740214042338555,220
EXC,2022-06-16,Utilities,+75 bp,hike,0.0015398779817015055,0.4776640556747109,-0.3210357906576707,0.17684092180105643,0.19343472271703643,220
EXC,2022-09-22,Utilities,+75 bp,hike,0.0012021051845881258,0.5332476547618596,-0.4561619463749055,0.2223312724347688,0.25495536971797683,220
EXC,2023-03-23,Utilities,+25 bp,hike,8.209347436925063e-05,0.7620093273676453,-0.479794067939885,0.26187739133535154,0.38184791422998365,220
EXC,2024-09-19,Utilities,-50 bp,cut,-0.0006624816228405503,0.34196963485537224,-0.005692930986900435,0.6540085830340564,0.12340529646119536,220
EXC,2024-12-19,Utilities,-25 bp,cut,0.00047431645827863695,0.18876577562579008,0.05168093559239745,0.5731489102959582,0.12704657610235126,220
EXC,2025-09-18,Utilities,-25 bp,cut,0.00027461512535443666,0.20244237748812924,-0.519414827541851,0.579356295981108,0.17346619544339825,220
